algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
271,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.998781,0.9993905000000001,1.0,100,0.0,0.0,1
272,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.998781,0.9993905000000001,1.0,100,0.0,0.0,1
273,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.999506,0.999753,1.0,100,0.0,0.0,1
274,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.999506,0.999753,1.0,100,0.0,0.0,1
275,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.999506,0.999753,1.0,100,0.0,0.0,1
276,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.999506,0.999753,1.0,100,0.0,0.0,1
277,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.0,0.0,0.0,0.0,0.0,0.0,0.999525,0.9997625,1.0,100,0.0,0.0,1
278,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.0,0.0,0.0,0.0,0.0,0.0,0.999525,0.9997625,1.0,100,0.0,0.0,1
279,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.0,0.0,0.0,0.0,0.0,0.0,0.999525,0.9997625,1.0,100,0.0,0.0,1
280,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.9766,0.0,0.0,0.0,0.0,0.0,0.0,0.999525,0.9997625,1.0,100,0.0,0.0,1
281,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.0,0.0,0.0,0.0,0.0,0.0,0.999106,0.999553,1.0,100,0.0,0.0,1
282,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.0,0.0,0.0,0.0,0.0,0.0,0.999106,0.999553,1.0,100,0.0,0.0,1
283,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.0,0.0,0.0,0.0,0.0,0.0,0.999106,0.999553,1.0,100,0.0,0.0,1
284,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.9458,0.0,0.0,0.0,0.0,0.0,0.0,0.999106,0.999553,1.0,100,0.0,0.0,1
285,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.999625,0.999625,0.999625,100,0.0,0.0,1
286,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.999625,0.999625,0.999625,100,0.0,0.0,1
287,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.999625,0.999625,0.999625,100,0.0,0.0,1
288,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.0,0.0,0.0,0.0,0.0,0.0,0.998777,0.998777,0.998777,100,0.0,0.0,1
289,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.0,0.0,0.0,0.0,0.0,0.0,0.998777,0.998777,0.998777,100,0.0,0.0,1
290,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.0,0.0,0.0,0.0,0.0,0.0,0.998777,0.998777,0.998777,100,0.0,0.0,1
291,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.0,0.0,0.0,0.0,0.0,0.0,0.998777,0.998777,0.998777,100,0.0,0.0,1
292,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.8073,0.0,0.0,0.0,0.0,0.0,0.0,0.998777,0.998777,0.998777,100,0.0,0.0,1
