------ Experiment.bell_state_reach ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  45
count embeddings (convex):  136
total diff. algorithms (convex):  48
accuracy perfect hardware (convex): -0.0, 0.5, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  1
2 :  1
3 :  1
4 :  15
5 :  15
6 :  15
--


number of improvements per horizon:
--> horizon 1: 0 
--> horizon 2: 0 
--> horizon 3: 0 
--> horizon 4: 135 
--> horizon 5: 13 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=manhattan-3, diff=0.03325, prob=0.49981, baseline_prob=0.46656, algorithm=57, method=convex, horizon=6,
hardware=algiers-2, diff=0.03324, prob=0.49984, baseline_prob=0.4666, algorithm=17, method=convex, horizon=6,
hardware=hanoi-2, diff=0.03324, prob=0.49982, baseline_prob=0.46658, algorithm=37, method=convex, horizon=6,
hardware=washington-3, diff=0.03322, prob=0.49987, baseline_prob=0.46665, algorithm=68, method=convex, horizon=6,
hardware=sydney-1, diff=0.03256, prob=0.95769, baseline_prob=0.92513, algorithm=11, method=convex, horizon=6,
hardware=sydney-3, diff=0.02937, prob=0.86381, baseline_prob=0.83444, algorithm=11, method=convex, horizon=6,
hardware=quito-0, diff=0.029, prob=0.95717, baseline_prob=0.92817, algorithm=11, method=convex, horizon=6,
hardware=quito-1, diff=0.02816, prob=0.92937, baseline_prob=0.90121, algorithm=11, method=convex, horizon=6,
hardware=mumbai-1, diff=0.02474, prob=0.96833, baseline_prob=0.94359, algorithm=11, method=convex, horizon=6,
hardware=mumbai-3, diff=0.02425, prob=0.9492, baseline_prob=0.92495, algorithm=11, method=convex, horizon=6,
hardware=montreal-1, diff=0.0228, prob=0.97013, baseline_prob=0.94733, algorithm=11, method=convex, horizon=6,
hardware=manila-0, diff=0.02267, prob=0.97021, baseline_prob=0.94754, algorithm=11, method=convex, horizon=6,
hardware=montreal-3, diff=0.02246, prob=0.95566, baseline_prob=0.9332, algorithm=11, method=convex, horizon=6,
hardware=singapore-0, diff=0.01923, prob=0.97312, baseline_prob=0.95389, algorithm=11, method=convex, horizon=6,
hardware=singapore-2, diff=0.01897, prob=0.95994, baseline_prob=0.94097, algorithm=11, method=convex, horizon=6,
hardware=brooklyn-1, diff=0.01877, prob=0.97454, baseline_prob=0.95577, algorithm=11, method=convex, horizon=6,
hardware=brooklyn-3, diff=0.0182, prob=0.94501, baseline_prob=0.92681, algorithm=11, method=convex, horizon=6,
hardware=hanoi-1, diff=0.01783, prob=0.97741, baseline_prob=0.95958, algorithm=11, method=convex, horizon=6,
hardware=vigo-0, diff=0.01441, prob=0.9796, baseline_prob=0.96519, algorithm=11, method=convex, horizon=6,
hardware=guadalupe-0, diff=0.00965, prob=0.985, baseline_prob=0.97535, algorithm=11, method=convex, horizon=6,
hardware=guadalupe-2, diff=0.00956, prob=0.97634, baseline_prob=0.96678, algorithm=11, method=convex, horizon=6,
hardware=nairobi-0, diff=0.00892, prob=0.98582, baseline_prob=0.9769, algorithm=11, method=convex, horizon=6,
hardware=nairobi-2, diff=0.00888, prob=0.982, baseline_prob=0.97312, algorithm=11, method=convex, horizon=6,
hardware=lima-0, diff=0.00877, prob=0.98652, baseline_prob=0.97775, algorithm=11, method=convex, horizon=6,
hardware=bogota-0, diff=0.00851, prob=0.98507, baseline_prob=0.97656, algorithm=11, method=convex, horizon=6,
hardware=essex-0, diff=0.00826, prob=0.98367, baseline_prob=0.97541, algorithm=11, method=convex, horizon=6,
hardware=algiers-1, diff=0.0082, prob=0.98815, baseline_prob=0.97995, algorithm=11, method=convex, horizon=6,
hardware=essex-2, diff=0.00817, prob=0.97236, baseline_prob=0.96419, algorithm=11, method=convex, horizon=6,
hardware=ourense-0, diff=0.00796, prob=0.98772, baseline_prob=0.97976, algorithm=11, method=convex, horizon=6,
hardware=ourense-2, diff=0.00794, prob=0.98518, baseline_prob=0.97724, algorithm=11, method=convex, horizon=6,
hardware=valencia-0, diff=0.00784, prob=0.98666, baseline_prob=0.97882, algorithm=11, method=convex, horizon=6,
hardware=kolkata-0, diff=0.00583, prob=0.99045, baseline_prob=0.98462, algorithm=11, method=convex, horizon=6,
hardware=perth-0, diff=0.00508, prob=0.99139, baseline_prob=0.98631, algorithm=11, method=convex, horizon=6,
hardware=belem-0, diff=0.00469, prob=0.98791, baseline_prob=0.98322, algorithm=11, method=convex, horizon=6,
hardware=casablanca-0, diff=0.00297, prob=0.99191, baseline_prob=0.98894, algorithm=11, method=convex, horizon=6,
hardware=casablanca-1, diff=0.00294, prob=0.9847, baseline_prob=0.98176, algorithm=11, method=convex, horizon=6,
hardware=essex-1, diff=0.00261, prob=0.97847, baseline_prob=0.97586, algorithm=11, method=convex, horizon=6,
hardware=rome-1, diff=0.00254, prob=0.9857, baseline_prob=0.98316, algorithm=11, method=convex, horizon=6,
hardware=oslo-1, diff=0.00243, prob=0.99303, baseline_prob=0.9906, algorithm=11, method=convex, horizon=6,
hardware=yorktown-0, diff=0.00212, prob=0.9715, baseline_prob=0.96938, algorithm=11, method=convex, horizon=6,
hardware=bogota-1, diff=0.00198, prob=0.94761, baseline_prob=0.94563, algorithm=11, method=convex, horizon=6,
hardware=melbourne-0, diff=0.00198, prob=0.98813, baseline_prob=0.98615, algorithm=11, method=convex, horizon=6,
hardware=melbourne-2, diff=0.00192, prob=0.96094, baseline_prob=0.95902, algorithm=11, method=convex, horizon=6,
hardware=burlington-0, diff=0.00169, prob=0.98162, baseline_prob=0.97993, algorithm=11, method=convex, horizon=6,
hardware=valencia-1, diff=0.00156, prob=0.98976, baseline_prob=0.9882, algorithm=11, method=convex, horizon=6,
hardware=rome-0, diff=0.00131, prob=0.99424, baseline_prob=0.99293, algorithm=11, method=convex, horizon=6,
hardware=poughkeepsie-1, diff=0.00126, prob=0.99057, baseline_prob=0.98931, algorithm=11, method=convex, horizon=6,
hardware=belem-1, diff=0.00121, prob=0.99162, baseline_prob=0.99041, algorithm=11, method=convex, horizon=6,
hardware=belem-2, diff=0.00121, prob=0.98772, baseline_prob=0.98651, algorithm=11, method=convex, horizon=6,
hardware=poughkeepsie-2, diff=0.00121, prob=0.9465, baseline_prob=0.94529, algorithm=11, method=convex, horizon=6,
hardware=perth-1, diff=0.0011, prob=0.99567, baseline_prob=0.99457, algorithm=11, method=convex, horizon=6,
hardware=perth-2, diff=0.00108, prob=0.98757, baseline_prob=0.98649, algorithm=11, method=convex, horizon=6,
