------ Experiment.basic_zero_plus_discr ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  483
accuracy perfect hardware (convex): 0.66667, 0.66667, 0.75, 0.75, 0.75, 0.75

num. algorithms per horizon (method=convex)
1 :  89
2 :  102
3 :  88
4 :  89
5 :  55
6 :  60
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 108 
--> horizon 3: 108 
--> horizon 4: 108 
--> horizon 5: 108 
--> horizon 6: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=montreal-1, diff=0.06193, prob=0.66413, baseline_prob=0.6022, algorithm=143, method=convex, horizon=2,
hardware=manila-0, diff=0.06175, prob=0.66415, baseline_prob=0.6024, algorithm=131, method=convex, horizon=2,
hardware=singapore-0, diff=0.0566, prob=0.6646, baseline_prob=0.608, algorithm=350, method=convex, horizon=2,
hardware=brooklyn-1, diff=0.05587, prob=0.66467, baseline_prob=0.6088, algorithm=193, method=convex, horizon=2,
hardware=hanoi-1, diff=0.05432, prob=0.66479, baseline_prob=0.61047, algorithm=19, method=convex, horizon=2,
hardware=vigo-0, diff=0.0486, prob=0.6652, baseline_prob=0.6166, algorithm=168, method=convex, horizon=2,
hardware=guadalupe-0, diff=0.03942, prob=0.66575, baseline_prob=0.62633, algorithm=209, method=convex, horizon=2,
hardware=nairobi-0, diff=0.03783, prob=0.66583, baseline_prob=0.628, algorithm=467, method=convex, horizon=2,
hardware=lima-1, diff=0.03751, prob=0.66584, baseline_prob=0.62833, algorithm=256, method=convex, horizon=2,
hardware=bogota-1, diff=0.03694, prob=0.66587, baseline_prob=0.62893, algorithm=300, method=convex, horizon=2,
hardware=essex-1, diff=0.03642, prob=0.66589, baseline_prob=0.62947, algorithm=90, method=convex, horizon=2,
hardware=jakarta-1, diff=0.03623, prob=0.6659, baseline_prob=0.62967, algorithm=30, method=convex, horizon=2,
hardware=algiers-1, diff=0.03617, prob=0.6659, baseline_prob=0.62973, algorithm=446, method=convex, horizon=2,
hardware=ourense-1, diff=0.03566, prob=0.66593, baseline_prob=0.63027, algorithm=40, method=convex, horizon=2,
hardware=valencia-1, diff=0.03541, prob=0.66594, baseline_prob=0.63053, algorithm=282, method=convex, horizon=2,
hardware=burlington-1, diff=0.03176, prob=0.66609, baseline_prob=0.63433, algorithm=407, method=convex, horizon=2,
hardware=kolkata-0, diff=0.03034, prob=0.66614, baseline_prob=0.6358, algorithm=450, method=convex, horizon=2,
hardware=perth-0, diff=0.02829, prob=0.66622, baseline_prob=0.63793, algorithm=333, method=convex, horizon=2,
hardware=belem-0, diff=0.02718, prob=0.66625, baseline_prob=0.63907, algorithm=176, method=convex, horizon=2,
hardware=casablanca-1, diff=0.02148, prob=0.66641, baseline_prob=0.64493, algorithm=373, method=convex, horizon=2,
hardware=essex-0, diff=0.02024, prob=0.66644, baseline_prob=0.6462, algorithm=84, method=convex, horizon=2,
hardware=rome-0, diff=0.01992, prob=0.66645, baseline_prob=0.64653, algorithm=397, method=convex, horizon=2,
hardware=oslo-1, diff=0.01939, prob=0.66646, baseline_prob=0.64707, algorithm=422, method=convex, horizon=2,
hardware=yorktown-0, diff=0.01829, prob=0.66649, baseline_prob=0.6482, algorithm=55, method=convex, horizon=2,
hardware=bogota-0, diff=0.01789, prob=0.66649, baseline_prob=0.6486, algorithm=295, method=convex, horizon=2,
hardware=melbourne-0, diff=0.0175, prob=0.6665, baseline_prob=0.649, algorithm=120, method=convex, horizon=2,
hardware=burlington-0, diff=0.0162, prob=0.66653, baseline_prob=0.65033, algorithm=404, method=convex, horizon=2,
hardware=athens-1, diff=0.01606, prob=0.66653, baseline_prob=0.65047, algorithm=73, method=convex, horizon=2,
hardware=valencia-0, diff=0.01547, prob=0.66654, baseline_prob=0.65107, algorithm=278, method=convex, horizon=2,
hardware=quito-0, diff=0.01455, prob=0.66655, baseline_prob=0.652, algorithm=475, method=convex, horizon=2,
hardware=rome-1, diff=0.01416, prob=0.66656, baseline_prob=0.6524, algorithm=401, method=convex, horizon=2,
hardware=poughkeepsie-1, diff=0.01389, prob=0.66656, baseline_prob=0.65267, algorithm=442, method=convex, horizon=2,
hardware=belem-1, diff=0.01364, prob=0.66657, baseline_prob=0.65293, algorithm=182, method=convex, horizon=2,
hardware=perth-1, diff=0.01291, prob=0.66658, baseline_prob=0.65367, algorithm=339, method=convex, horizon=2,
hardware=auckland-1, diff=0.01271, prob=0.66658, baseline_prob=0.65387, algorithm=79, method=convex, horizon=2,
hardware=nairobi-1, diff=0.01212, prob=0.66659, baseline_prob=0.65447, algorithm=472, method=convex, horizon=2,
hardware=santiago-0, diff=0.01192, prob=0.66659, baseline_prob=0.65467, algorithm=343, method=convex, horizon=2,
hardware=johannesburg-0, diff=0.0116, prob=0.6666, baseline_prob=0.655, algorithm=378, method=convex, horizon=2,
hardware=cambridge-0, diff=0.01127, prob=0.6666, baseline_prob=0.65533, algorithm=1, method=convex, horizon=2,
hardware=singapore-1, diff=0.01127, prob=0.6666, baseline_prob=0.65533, algorithm=1, method=convex, horizon=2,
hardware=lagos-1, diff=0.01107, prob=0.6666, baseline_prob=0.65553, algorithm=224, method=convex, horizon=2,
hardware=london-1, diff=0.01104, prob=0.6666, baseline_prob=0.65556, algorithm=224, method=convex, horizon=2,
hardware=lima-0, diff=0.011, prob=0.6666, baseline_prob=0.6556, algorithm=224, method=convex, horizon=2,
hardware=jakarta-0, diff=0.01061, prob=0.66661, baseline_prob=0.656, algorithm=25, method=convex, horizon=2,
hardware=ourense-0, diff=0.01008, prob=0.66661, baseline_prob=0.65653, algorithm=36, method=convex, horizon=2,
hardware=almaden-0, diff=0.00995, prob=0.66662, baseline_prob=0.65667, algorithm=237, method=convex, horizon=2,
hardware=vigo-1, diff=0.00969, prob=0.66662, baseline_prob=0.65693, algorithm=173, method=convex, horizon=2,
hardware=manila-1, diff=0.00955, prob=0.66662, baseline_prob=0.65707, algorithm=137, method=convex, horizon=2,
hardware=casablanca-0, diff=0.00955, prob=0.66662, baseline_prob=0.65707, algorithm=137, method=convex, horizon=2,
hardware=geneva-1, diff=0.00915, prob=0.66662, baseline_prob=0.65747, algorithm=252, method=convex, horizon=2,
hardware=boeblingen-0, diff=0.00876, prob=0.66663, baseline_prob=0.65787, algorithm=285, method=convex, horizon=2,
hardware=mumbai-0, diff=0.00863, prob=0.66663, baseline_prob=0.658, algorithm=228, method=convex, horizon=2,
hardware=brooklyn-0, diff=0.0083, prob=0.66663, baseline_prob=0.65833, algorithm=188, method=convex, horizon=2,
hardware=guadalupe-1, diff=0.00704, prob=0.66664, baseline_prob=0.6596, algorithm=215, method=convex, horizon=2,
hardware=athens-0, diff=0.00671, prob=0.66664, baseline_prob=0.65993, algorithm=67, method=convex, horizon=2,
hardware=rochester-0, diff=0.00664, prob=0.66664, baseline_prob=0.66, algorithm=148, method=convex, horizon=2,
hardware=santiago-1, diff=0.00638, prob=0.66665, baseline_prob=0.66027, algorithm=347, method=convex, horizon=2,
hardware=sydney-0, diff=0.00618, prob=0.66665, baseline_prob=0.66047, algorithm=356, method=convex, horizon=2,
hardware=toronto-1, diff=0.00518, prob=0.66665, baseline_prob=0.66147, algorithm=322, method=convex, horizon=2,
hardware=oslo-0, diff=0.00512, prob=0.66665, baseline_prob=0.66153, algorithm=420, method=convex, horizon=2,
hardware=cusco-0, diff=0.00487, prob=0.66665, baseline_prob=0.66178, algorithm=110, method=convex, horizon=2,
hardware=prague-1, diff=0.00485, prob=0.66665, baseline_prob=0.6618, algorithm=110, method=convex, horizon=2,
hardware=montreal-0, diff=0.00473, prob=0.66666, baseline_prob=0.66193, algorithm=140, method=convex, horizon=2,
hardware=paris-1, diff=0.00459, prob=0.66666, baseline_prob=0.66207, algorithm=433, method=convex, horizon=2,
hardware=manhattan-1, diff=0.00419, prob=0.66666, baseline_prob=0.66247, algorithm=274, method=convex, horizon=2,
hardware=brisbane-1, diff=0.00374, prob=0.66666, baseline_prob=0.66292, algorithm=331, method=convex, horizon=2,
hardware=hanoi-0, diff=0.00366, prob=0.66666, baseline_prob=0.663, algorithm=13, method=convex, horizon=2,
hardware=auckland-0, diff=0.00366, prob=0.66666, baseline_prob=0.663, algorithm=13, method=convex, horizon=2,
hardware=torino-0, diff=0.00341, prob=0.66666, baseline_prob=0.66325, algorithm=159, method=convex, horizon=2,
hardware=cairo-0, diff=0.00339, prob=0.66666, baseline_prob=0.66327, algorithm=159, method=convex, horizon=2,
hardware=kolkata-1, diff=0.00326, prob=0.66666, baseline_prob=0.6634, algorithm=455, method=convex, horizon=2,
hardware=algiers-0, diff=0.00319, prob=0.66666, baseline_prob=0.66347, algorithm=444, method=convex, horizon=2,
hardware=kyoto-0, diff=0.00286, prob=0.66666, baseline_prob=0.6638, algorithm=457, method=convex, horizon=2,
hardware=osaka-1, diff=0.00239, prob=0.66666, baseline_prob=0.66427, algorithm=418, method=convex, horizon=2,
hardware=kawasaki-0, diff=0.00227, prob=0.66666, baseline_prob=0.66439, algorithm=387, method=convex, horizon=2,
hardware=washington-1, diff=0.00186, prob=0.66666, baseline_prob=0.6648, algorithm=51, method=convex, horizon=2,
hardware=makarresh-0, diff=0.00179, prob=0.66667, baseline_prob=0.66488, algorithm=260, method=convex, horizon=2,
hardware=kyiv-0, diff=0.00114, prob=0.66667, baseline_prob=0.66553, algorithm=94, method=convex, horizon=2,
hardware=fez-0, diff=0.00098, prob=0.66667, baseline_prob=0.66569, algorithm=199, method=convex, horizon=2,

Horizon = 3
hardware=torino-1, diff=0.06518, prob=0.53259, baseline_prob=0.46741, algorithm=163, method=convex, horizon=3,
hardware=brisbane-0, diff=0.04743, prob=0.64097, baseline_prob=0.59354, algorithm=327, method=convex, horizon=3,
