hardware,embedding_index,horizon,method,time,result,threshold
hanoi,1,2,bellman,0.008610,1,0.597490
hanoi,1,2,convex,0.024590,1,0.497740
hanoi,1,3,bellman,0.017450,1,0.912390
hanoi,1,3,convex,0.021210,1,0.912390
hanoi,1,4,bellman,0.029240,1,0.927790
hanoi,1,4,convex,0.089420,1,0.912390
hanoi,1,5,bellman,0.056260,1,0.976410
hanoi,1,5,convex,0.075110,1,0.976410
hanoi,1,6,bellman,0.098040,1,0.979970
hanoi,1,6,convex,0.290830,1,0.976410
hanoi,2,1,bellman,0.006480,1,0.279000
hanoi,2,1,convex,0.006720,1,0.000000
