hardware,embedding_index,horizon,method,time,result,threshold
rome,2,6,bellman,0.031490,1,0.986230
rome,2,7,bellman,0.032640,1,0.986230
burlington,0,3,bellman,0.002910,1,0.499000
burlington,0,4,bellman,0.015620,1,0.931280
burlington,0,5,bellman,0.016540,1,0.931280
burlington,0,6,bellman,0.030120,1,0.971180
burlington,0,7,bellman,0.032070,1,0.971180
burlington,1,3,bellman,0.013410,1,0.499000
burlington,1,4,bellman,0.017270,1,0.921070
burlington,1,5,bellman,0.018580,1,0.921070
burlington,1,6,bellman,0.033390,1,0.960030
burlington,1,7,bellman,0.034810,1,0.960030
burlington,2,3,bellman,0.027610,1,0.499000
burlington,2,4,bellman,0.018020,1,0.946590
burlington,2,5,bellman,0.022650,1,0.946590
burlington,2,6,bellman,0.033620,1,0.974320
burlington,2,7,bellman,0.053220,1,0.974320
poughkeepsie,0,3,bellman,0.004810,1,0.499000
poughkeepsie,0,4,bellman,0.023470,1,0.769470
poughkeepsie,0,5,bellman,0.029130,1,0.769470
poughkeepsie,0,6,bellman,0.041800,1,0.846870
poughkeepsie,0,7,bellman,0.065750,1,0.846870
poughkeepsie,1,3,bellman,0.004210,1,0.499000
poughkeepsie,1,4,bellman,0.023240,1,0.763260
poughkeepsie,1,5,bellman,0.024260,1,0.763260
poughkeepsie,1,6,bellman,0.040860,1,0.838870
poughkeepsie,1,7,bellman,0.042800,1,0.838880
poughkeepsie,2,3,bellman,0.005300,1,0.499000
poughkeepsie,2,4,bellman,0.028830,1,0.954340
poughkeepsie,2,5,bellman,0.034690,1,0.954340
poughkeepsie,2,6,bellman,0.047800,1,0.973070
poughkeepsie,2,7,bellman,0.073530,1,0.973070
kolkata,0,3,bellman,0.004920,1,0.499000
kolkata,0,4,bellman,0.025250,1,0.895540
kolkata,0,5,bellman,0.030860,1,0.895540
kolkata,0,6,bellman,0.043210,1,0.930560
kolkata,0,7,bellman,0.066690,1,0.930560
kolkata,1,3,bellman,0.006310,1,0.499000
kolkata,1,4,bellman,0.036720,1,0.985970
kolkata,1,5,bellman,0.038580,1,0.985970
kolkata,1,6,bellman,0.058660,1,0.990710
kolkata,1,7,bellman,0.061280,1,0.990720
kolkata,2,3,bellman,0.006020,1,0.499000
kolkata,2,4,bellman,0.036580,1,0.983440
kolkata,2,5,bellman,0.038250,1,0.983440
kolkata,2,6,bellman,0.058470,1,0.988160
kolkata,2,7,bellman,0.060330,1,0.988160
quito,0,3,bellman,0.004090,1,0.499000
quito,0,4,bellman,0.015180,1,0.942160
quito,0,5,bellman,0.020030,1,0.942160
quito,0,6,bellman,0.029060,1,0.961230
quito,0,7,bellman,0.049810,1,0.961230
quito,1,3,bellman,0.024210,1,0.499000
quito,1,4,bellman,0.016070,1,0.915180
quito,1,5,bellman,0.021060,1,0.915180
quito,1,6,bellman,0.030340,1,0.933090
quito,1,7,bellman,0.051320,1,0.933090
quito,2,3,bellman,0.013460,1,0.499000
quito,2,4,bellman,0.016870,1,0.902510
quito,2,5,bellman,0.017760,1,0.902510
quito,2,6,bellman,0.031650,1,0.937190
quito,2,7,bellman,0.032650,1,0.937190
hanoi,0,3,bellman,0.005430,1,0.499000
hanoi,0,4,bellman,0.030960,1,0.985540
hanoi,0,5,bellman,0.032700,1,0.985540
hanoi,0,6,bellman,0.051000,1,0.991630
hanoi,0,7,bellman,0.052590,1,0.991630
hanoi,1,3,bellman,0.005600,1,0.499000
hanoi,1,4,bellman,0.032170,1,0.980750
hanoi,1,5,bellman,0.033730,1,0.980750
hanoi,1,6,bellman,0.052420,1,0.986780
hanoi,1,7,bellman,0.054300,1,0.986780
hanoi,2,3,bellman,0.028540,1,0.499000
hanoi,2,4,bellman,0.033200,1,0.907800
hanoi,2,5,bellman,0.035110,1,0.907800
hanoi,2,6,bellman,0.054100,1,0.970910
hanoi,2,7,bellman,0.056250,1,0.970910
ourense,0,3,bellman,0.011950,1,0.499000
ourense,0,4,bellman,0.015060,1,0.961070
ourense,0,5,bellman,0.015920,1,0.961070
ourense,0,6,bellman,0.029100,1,0.987530
ourense,0,7,bellman,0.030270,1,0.987530
ourense,1,3,bellman,0.012640,1,0.499000
ourense,1,4,bellman,0.016100,1,0.958670
ourense,1,5,bellman,0.016820,1,0.958670
ourense,1,6,bellman,0.030390,1,0.984990
ourense,1,7,bellman,0.031520,1,0.984990
ourense,2,3,bellman,0.025870,1,0.499000
ourense,2,4,bellman,0.016930,1,0.957700
ourense,2,5,bellman,0.021980,1,0.957700
ourense,2,6,bellman,0.031730,1,0.985950
ourense,2,7,bellman,0.052980,1,0.985950
washington,0,3,bellman,0.021110,1,0.499000
washington,0,4,bellman,0.025500,1,0.713710
washington,0,5,bellman,0.026610,1,0.713710
washington,0,6,bellman,0.043160,1,0.793140
washington,0,7,bellman,0.044930,1,0.793140
washington,1,3,bellman,0.005420,1,0.499000
washington,1,4,bellman,0.027340,1,0.514390
washington,1,5,bellman,0.033090,1,0.514390
washington,1,6,bellman,0.045920,1,0.520080
washington,1,7,bellman,0.071140,1,0.520080
washington,2,3,bellman,0.020410,1,0.499000
washington,2,4,bellman,0.127710,1,0.979740
washington,2,5,bellman,0.133640,1,0.979740
washington,2,6,bellman,0.182600,1,0.982420
washington,2,7,bellman,0.189460,1,0.982420
auckland,0,3,bellman,0.021050,1,0.499000
auckland,0,4,bellman,0.025320,1,0.983030
auckland,0,5,bellman,0.026360,1,0.983030
auckland,0,6,bellman,0.042920,1,0.988320
auckland,0,7,bellman,0.044450,1,0.988320
auckland,1,3,bellman,0.029280,1,0.499000
auckland,1,4,bellman,0.034780,1,0.959690
auckland,1,5,bellman,0.036470,1,0.959690
auckland,1,6,bellman,0.056160,1,0.977040
auckland,1,7,bellman,0.058330,1,0.977040
essex,0,3,bellman,0.012150,1,0.499000
essex,0,4,bellman,0.015930,1,0.950250
essex,0,5,bellman,0.016680,1,0.950250
essex,0,6,bellman,0.030410,1,0.977100
essex,0,7,bellman,0.031020,1,0.977100
essex,1,3,bellman,0.012580,1,0.499000
essex,1,4,bellman,0.015920,1,0.939540
essex,1,5,bellman,0.016770,1,0.939540
essex,1,6,bellman,0.030650,1,0.965760
essex,1,7,bellman,0.031600,1,0.965760
essex,2,3,bellman,0.013310,1,0.499000
essex,2,4,bellman,0.017110,1,0.933740
essex,2,5,bellman,0.017880,1,0.933740
essex,2,6,bellman,0.031760,1,0.964480
essex,2,7,bellman,0.033060,1,0.964480
manila,0,3,bellman,0.002810,1,0.499000
manila,0,4,bellman,0.015110,1,0.962620
manila,0,5,bellman,0.015830,1,0.962620
manila,0,6,bellman,0.029150,1,0.982480
manila,0,7,bellman,0.029870,1,0.982480
manila,1,3,bellman,0.003010,1,0.499000
manila,1,4,bellman,0.016090,1,0.889020
manila,1,5,bellman,0.016830,1,0.889020
manila,1,6,bellman,0.030390,1,0.956960
manila,1,7,bellman,0.031460,1,0.956960
manila,2,3,bellman,0.003120,1,0.499000
manila,2,4,bellman,0.016950,1,0.973450
manila,2,5,bellman,0.017790,1,0.973450
manila,2,6,bellman,0.031960,1,0.986910
manila,2,7,bellman,0.032550,1,0.986910
montreal,0,3,bellman,0.004590,1,0.499000
montreal,0,4,bellman,0.026110,1,0.982400
montreal,0,5,bellman,0.027330,1,0.982400
montreal,0,6,bellman,0.043960,1,0.989210
montreal,0,7,bellman,0.045740,1,0.989210
montreal,1,3,bellman,0.055400,1,0.499000
montreal,1,4,bellman,0.035090,1,0.892820
montreal,1,5,bellman,0.041110,1,0.892820
montreal,1,6,bellman,0.056270,1,0.961620
montreal,1,7,bellman,0.083880,1,0.961620
london,0,3,bellman,0.002950,1,0.499000
london,0,4,bellman,0.015100,1,0.940180
london,0,5,bellman,0.016030,1,0.940180
london,0,6,bellman,0.030170,1,0.980770
london,0,7,bellman,0.029920,1,0.980770
london,1,3,bellman,0.004130,1,0.499000
london,1,4,bellman,0.015600,1,0.937270
london,1,5,bellman,0.020510,1,0.937270
london,1,6,bellman,0.029990,1,0.977590
