,benchmark,horizon,total_time,0.0,6.666667,9.999977,10.0,14.0,15.0,16.666667,16.666637,18.333333,19.375,20.0,30.0
94,RockSample_POMDP_N3_G2_K7_R9_,4,timeout,timeout,timeout,timeout,192.726956,192.726956,192.726956,192.726956,192.726956,192.726956,192.726956,192.726956,192.726956
95,RockSample_POMDP_N3_G2_K7_R9_,5,timeout,timeout,timeout,timeout,240.220069,240.220069,240.220069,240.220069,240.220069,240.220069,240.220069,240.220069,240.220069
96,RockSample_POMDP_N3_G2_K7_R9_,6,timeout,timeout,timeout,timeout,287.935812,287.935812,287.935812,287.935812,287.935812,287.935812,287.935812,287.935812,287.935812
97,RockSample_POMDP_N3_G2_K7_R9_,7,timeout,timeout,timeout,timeout,336.42289,336.42289,336.42289,336.42289,336.42289,336.42289,336.42289,336.42289,336.42289
98,RockSample_POMDP_N3_G4_K7_R11_,1,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847,1124.906847
99,RockSample_POMDP_N3_G4_K7_R11_,2,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821,2811.723821
100,RockSample_POMDP_N3_G4_K7_R11_,3,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
101,RockSample_POMDP_N3_G4_K7_R11_,4,timeout,timeout,timeout,timeout,2225.671369,2225.671369,2225.671369,2225.671369,2225.671369,2225.671369,2225.671369,2225.671369,2225.671369
102,RockSample_POMDP_N3_G4_K7_R11_,5,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,2803.432851,2803.432851
103,RockSample_POMDP_N3_G4_K7_R11_,6,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
104,RockSample_POMDP_N3_G4_K7_R11_,7,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
105,RockSample_POMDP_N3_G6_K7_R13_,1,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776,1819.783776
106,RockSample_POMDP_N3_G6_K7_R13_,2,timeout,timeout,timeout,timeout,1817.477079,1817.477079,1817.477079,1817.477079,1817.477079,1817.477079,1817.477079,1817.477079,1817.477079
107,RockSample_POMDP_N3_G6_K7_R13_,3,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
108,RockSample_POMDP_N3_G6_K7_R13_,4,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
109,RockSample_POMDP_N3_G6_K7_R13_,5,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
110,RockSample_POMDP_N3_G6_K7_R13_,6,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
111,RockSample_POMDP_N3_G6_K7_R13_,7,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
